ENSE00003733683,ENSE00003673476
ENSE00003733683,ENSE00003785534
ENSE00003694390,ENSE00001138070
ENSE00001081967,ENSE00003818668
ENSE00000663639,ENSE00000963280
ENSE00003607019,ENSE00003664214
ENSE00003574526,ENSE00003785306
ENSE00001299524,ENSE00003687148
ENSE00003549099,ENSE00001931940
ENSE00003577022,ENSE00003652161
ENSE00001252225,ENSE00002441316
ENSE00001252225,ENSE00003598136
ENSE00003657429,ENSE00003619365
ENSE00003657429,ENSE00003660539
ENSE00003657429,ENSE00003528838
ENSE00003561493,ENSE00001181017
ENSE00003561493,ENSE00003734455
ENSE00003561493,ENSE00002710928
ENSE00000964870,ENSE00001071827
ENSE00001592515,ENSE00003708122
ENSE00001592515,ENSE00003556550
ENSE00001592515,ENSE00003600762
ENSE00001294358,ENSE00003671203
ENSE00001294358,ENSE00003600762
ENSE00001294358,ENSE00001592515
ENSE00003541466,ENSE00003933987
ENSE00003541466,ENSE00002713211
ENSE00003541466,ENSE00003925056
ENSE00003704847,ENSE00002024534
ENSE00003593392,ENSE00003925056
ENSE00000949591,ENSE00003593392
ENSE00001815586,ENSE00000858713
ENSE00001815586,ENSE00000858712
ENSE00003743315,ENSE00003623696
ENSE00003808235,ENSE00003724826
ENSE00001670495,ENSE00001443487
ENSE00001670495,ENSE00003926993
ENSE00001670495,ENSE00003458629
ENSE00001670495,ENSE00003694078
ENSE00001670495,ENSE00003527924
ENSE00003644834,ENSE00003690053
ENSE00003644834,ENSE00003581567
ENSE00003644834,ENSE00003547708
ENSE00003644834,ENSE00001711912
ENSE00003644834,ENSE00001670495
ENSE00003691753,ENSE00003690053
ENSE00003691753,ENSE00003581567
ENSE00003691753,ENSE00003547708
ENSE00003691753,ENSE00001711912
ENSE00003691753,ENSE00001670495
ENSE00001735686,ENSE00000933947
ENSE00001735686,ENSE00000933949
ENSE00001735686,ENSE00003517080
ENSE00003602731,ENSE00003498247
ENSE00003547363,ENSE00003498247
ENSE00003661218,ENSE00002216514
ENSE00003654388,ENSE00003685126
ENSE00002373333,ENSE00001141657
ENSE00003906959,ENSE00001815586
ENSE00003818640,ENSE00001157702
ENSE00003488330,ENSE00003477142
ENSE00002268305,ENSE00001456702
ENSE00002514756,ENSE00002721815
ENSE00002514756,ENSE00003629002
ENSE00003521934,ENSE00002258101
ENSE00001692569,ENSE00002258101
ENSE00003464676,ENSE00003644424
ENSE00003464676,ENSE00000874844
ENSE00002152676,ENSE00003569945
ENSE00002152676,ENSE00003518253
ENSE00002152676,ENSE00002441316
ENSE00002152676,ENSE00003607392
ENSE00002152676,ENSE00003598136
ENSE00002152676,ENSE00002031107
ENSE00002152676,ENSE00003818640
ENSE00001160920,ENSE00003692122
ENSE00001160920,ENSE00003631447
ENSE00001160920,ENSE00003417541
ENSE00001160920,ENSE00001811309
ENSE00001130731,ENSE00000874845
ENSE00001130731,ENSE00003475228
ENSE00001130731,ENSE00003536253
ENSE00001130731,ENSE00003670943
ENSE00001130731,ENSE00000874844
ENSE00003693795,ENSE00001130731
ENSE00003608227,ENSE00000859180
ENSE00003488545,ENSE00000874844
ENSE00001130738,ENSE00003607341
ENSE00001130738,ENSE00000874844
ENSE00001130727,ENSE00003607341
ENSE00001130727,ENSE00000874844
ENSE00003570710,ENSE00003559528
ENSE00003570710,ENSE00003539213
ENSE00003570710,ENSE00000858115
ENSE00001392118,ENSE00000882210
ENSE00001392118,ENSE00000919447
ENSE00001392118,ENSE00000919449
ENSE00001392118,ENSE00000882208
ENSE00001392118,ENSE00001130703
ENSE00003542087,ENSE00003902792
ENSE00003542087,ENSE00003519164
ENSE00003584028,ENSE00001138070
ENSE00003584028,ENSE00003508191
ENSE00003484090,ENSE00003584028
ENSE00001256350,ENSE00003607758
ENSE00001256350,ENSE00003603699
ENSE00001256350,ENSE00003584028
ENSE00001100128,ENSE00003692077
ENSE00000928386,ENSE00003623696
ENSE00001117764,ENSE00003743315
ENSE00001117764,ENSE00000928386
ENSE00003566652,ENSE00003743315
ENSE00003566652,ENSE00000928386
ENSE00001081973,ENSE00003818668
ENSE00003720451,ENSE00003693024
ENSE00003720451,ENSE00003673476
ENSE00003720451,ENSE00003785534
ENSE00000674570,ENSE00003510487
ENSE00001952614,ENSE00003613307
ENSE00001952614,ENSE00001201844
ENSE00001952614,ENSE00001201840
ENSE00000663640,ENSE00000963285
ENSE00000663640,ENSE00000963280
ENSE00002290598,ENSE00003925056
ENSE00001853337,ENSE00003417541
ENSE00001853337,ENSE00001811309
ENSE00003467498,ENSE00001029402
ENSE00003467498,ENSE00003477142
ENSE00003458255,ENSE00000859180
ENSE00003663906,ENSE00001200768
ENSE00003663906,ENSE00003743315
ENSE00003663906,ENSE00000928386
ENSE00001192002,ENSE00002148032
ENSE00001192002,ENSE00003623696
ENSE00001192002,ENSE00001464875
ENSE00001192002,ENSE00001200768
ENSE00001192002,ENSE00003616923
ENSE00001192002,ENSE00003663906
ENSE00001060754,ENSE00003623696
ENSE00001060754,ENSE00003663906
ENSE00003464161,ENSE00003663906
ENSE00003464161,ENSE00001192002
ENSE00001352100,ENSE00003663906
ENSE00001486236,ENSE00003623696
ENSE00001486236,ENSE00003663906
ENSE00001486236,ENSE00001192002
ENSE00003753157,ENSE00003623696
ENSE00003753157,ENSE00001117764
ENSE00003753157,ENSE00003566652
ENSE00003753157,ENSE00003663906
ENSE00001390621,ENSE00003663906
ENSE00003602750,ENSE00001249089
ENSE00003602750,ENSE00000671403
ENSE00003550914,ENSE00003509716
ENSE00003550914,ENSE00003629392
ENSE00003680470,ENSE00003665744
ENSE00003680470,ENSE00003485389
